,it,is,going,to,rain,today,.,i,am,not,outside,nlp,an,interesting,topic,includes,ml,",",dl,topics,too,complete,homework
it,1.0,0.3651,0.3333,0.4629,0.6124,0.2182,0.3522,0.3873,0.4082,0.2357,0.4714,0.4529,0.2041,0.2041,0.2357,0.0,0.0,0.0,0.0,0.0,0.0,0.4714,0.2357
is,0.3651,1.0,0.5477,0.5071,0.3354,0.4781,0.5305,0.3536,0.4472,0.3873,0.3873,0.6202,0.559,0.559,0.5164,0.3873,0.2582,0.2631,0.1291,0.1291,0.1291,0.3873,0.3873
going,0.3333,0.5477,1.0,0.6686,0.4763,0.7638,0.6163,0.5594,0.6351,0.6285,0.6285,0.3774,0.4763,0.4763,0.3928,0.3143,0.3143,0.427,0.1571,0.3143,0.4714,0.4714,0.6285
to,0.4629,0.5071,0.6686,1.0,0.5669,0.7071,0.6521,0.5976,0.6299,0.6547,0.6547,0.5241,0.378,0.378,0.3273,0.2182,0.2182,0.4447,0.1091,0.2182,0.3273,0.5455,0.4364
rain,0.6124,0.3354,0.4763,0.5669,1.0,0.6013,0.5392,0.7115,0.5833,0.5774,0.433,0.5547,0.375,0.25,0.2887,0.1443,0.1443,0.2942,0.1443,0.1443,0.1443,0.2887,0.5774
today,0.2182,0.4781,0.7638,0.7071,0.6013,1.0,0.634,0.6761,0.7127,0.6944,0.5401,0.5189,0.4677,0.3341,0.3086,0.3858,0.3858,0.4193,0.3086,0.4629,0.5401,0.4629,0.6172
.,0.3522,0.5305,0.6163,0.6521,0.5392,0.634,1.0,0.6138,0.5392,0.6226,0.4981,0.5981,0.2696,0.4313,0.4358,0.3735,0.3735,0.5498,0.3113,0.3735,0.4358,0.5603,0.4358
i,0.3873,0.3536,0.5594,0.5976,0.7115,0.6761,0.6138,1.0,0.6852,0.7303,0.639,0.4824,0.3162,0.1581,0.1826,0.1826,0.2739,0.3721,0.3651,0.2739,0.4564,0.4564,0.4564
am,0.4082,0.4472,0.6351,0.6299,0.5833,0.7127,0.5392,0.6852,1.0,0.7698,0.4811,0.5547,0.3333,0.1667,0.1925,0.1925,0.1925,0.3269,0.2887,0.4811,0.3849,0.2887,0.4811
not,0.2357,0.3873,0.6285,0.6547,0.5774,0.6944,0.6226,0.7303,0.7698,1.0,0.5,0.4804,0.2887,0.1443,0.1667,0.1667,0.1667,0.2265,0.1667,0.3333,0.5,0.3333,0.3333
outside,0.4714,0.3873,0.6285,0.6547,0.433,0.5401,0.4981,0.639,0.4811,0.5,1.0,0.4003,0.5774,0.5774,0.5,0.3333,0.3333,0.3397,0.1667,0.1667,0.3333,0.5,0.3333
nlp,0.4529,0.6202,0.3774,0.5241,0.5547,0.5189,0.5981,0.4824,0.5547,0.4804,0.4003,1.0,0.5547,0.3467,0.5604,0.4804,0.4003,0.3807,0.4804,0.4003,0.3203,0.4804,0.5604
an,0.2041,0.559,0.4763,0.378,0.375,0.4677,0.2696,0.3162,0.3333,0.2887,0.5774,0.5547,1.0,0.75,0.7217,0.5774,0.433,0.3922,0.2887,0.2887,0.2887,0.1443,0.433
interesting,0.2041,0.559,0.4763,0.378,0.25,0.3341,0.4313,0.1581,0.1667,0.1443,0.5774,0.3467,0.75,1.0,0.7217,0.5774,0.433,0.4903,0.1443,0.1443,0.1443,0.2887,0.433
topic,0.2357,0.5164,0.3928,0.3273,0.2887,0.3086,0.4358,0.1826,0.1925,0.1667,0.5,0.5604,0.7217,0.7217,1.0,0.3333,0.5,0.4529,0.3333,0.1667,0.1667,0.1667,0.3333
includes,0.0,0.3873,0.3143,0.2182,0.1443,0.3858,0.3735,0.1826,0.1925,0.1667,0.3333,0.4804,0.5774,0.5774,0.3333,1.0,0.6667,0.5661,0.5,0.6667,0.5,0.3333,0.5
ml,0.0,0.2582,0.3143,0.2182,0.1443,0.3858,0.3735,0.2739,0.1925,0.1667,0.3333,0.4003,0.433,0.433,0.5,0.6667,1.0,0.6794,0.6667,0.5,0.6667,0.3333,0.5
",",0.0,0.2631,0.427,0.4447,0.2942,0.4193,0.5498,0.3721,0.3269,0.2265,0.3397,0.3807,0.3922,0.4903,0.4529,0.5661,0.6794,1.0,0.5661,0.4529,0.3397,0.3397,0.5661
dl,0.0,0.1291,0.1571,0.1091,0.1443,0.3086,0.3113,0.3651,0.2887,0.1667,0.1667,0.4804,0.2887,0.1443,0.3333,0.5,0.6667,0.5661,1.0,0.6667,0.5,0.1667,0.3333
topics,0.0,0.1291,0.3143,0.2182,0.1443,0.4629,0.3735,0.2739,0.4811,0.3333,0.1667,0.4003,0.2887,0.1443,0.1667,0.6667,0.5,0.4529,0.6667,1.0,0.6667,0.1667,0.3333
too,0.0,0.1291,0.4714,0.3273,0.1443,0.5401,0.4358,0.4564,0.3849,0.5,0.3333,0.3203,0.2887,0.1443,0.1667,0.5,0.6667,0.3397,0.5,0.6667,1.0,0.3333,0.3333
complete,0.4714,0.3873,0.4714,0.5455,0.2887,0.4629,0.5603,0.4564,0.2887,0.3333,0.5,0.4804,0.1443,0.2887,0.1667,0.3333,0.3333,0.3397,0.1667,0.1667,0.3333,1.0,0.5
homework,0.2357,0.3873,0.6285,0.4364,0.5774,0.6172,0.4358,0.4564,0.4811,0.3333,0.3333,0.5604,0.433,0.433,0.3333,0.5,0.5,0.5661,0.3333,0.3333,0.3333,0.5,1.0
